Id,preco
0,1239163.1655178855
1,285712.237608614
2,643937.6541007274
3,270825.61681493896
4,375475.1837961019
5,208424.91328340015
6,679456.8538656037
7,328344.71143104887
8,334275.83491166955
9,1102131.1263616614
10,641046.8081035658
11,651354.9946110118
12,972217.2113202601
13,375204.811745465
14,854256.1592821479
15,593886.3913552568
16,392075.9840996174
17,373165.7918813995
18,364217.417875315
19,997944.6683948225
20,831845.691101747
21,327345.15717191814
22,332785.2547554415
23,448669.3864276547
24,390157.8142232716
25,360695.76417216955
26,470961.56564547017
27,547877.171342099
28,810329.0788758887
29,963427.4630392789
30,315812.5623536722
31,2165352.7153616645
32,1832844.2103217887
33,2293088.5874487697
34,1142452.1576169461
35,322782.42634020624
36,486494.4639353918
37,2290060.623354217
38,386691.02463077626
39,429134.1933408529
40,1940038.3954221138
41,687504.5627682642
42,378752.83131522266
43,1327239.4101655113
44,987029.8511541703
45,327637.6204290094
46,1411193.610171578
47,452135.4703102731
48,392920.3421743612
49,425128.8369926671
50,545270.6528236419
51,341563.15771327907
52,674824.9592295785
53,977525.7131467925
54,911116.4080304934
55,375475.1837961019
56,566432.2526969307
57,393240.59209250455
58,836768.7203374304
59,1781516.1816324312
60,2603580.595814613
61,546201.7953695492
62,1310383.4570006176
63,3462321.0696646296
64,413952.42939516826
65,418298.93020069733
66,571303.2468249195
67,1171122.6857992888
68,851418.0575778967
69,380456.1300992923
70,1715796.7982124118
71,199194.76902998204
72,545349.0596504721
73,514489.78811667627
74,323917.0493618727
75,2972008.3144836463
76,323297.7345600955
77,390815.33256121026
78,208755.53569770177
79,401690.73776883876
80,557837.6892856733
81,424626.5871309325
82,355343.953668266
83,1497628.4650550755
84,2707130.937140712
85,418786.12156661385
86,405313.4994896606
87,591966.1416867517
88,470961.56564547017
89,376182.2840412621
90,512140.82741184405
91,766055.4810982654
92,232230.74687133092
93,312951.98961853306
94,225379.1211017294
95,653143.5054056249
96,932652.6727474874
97,1622181.1458902431
98,413112.06622781634
99,641371.0496139948
100,510259.96439954336
101,420241.34217451065
102,1364788.2577699681
103,741255.6918062026
104,435893.4347409353
105,771809.7788016711
106,853146.1012975755
107,966714.5877987033
108,374351.1001574269
109,605570.3198494705
110,419149.41242332495
111,922318.5433923473
112,374930.0604830067
113,387566.40565489506
114,779935.1090089668
115,351872.6236362801
116,508750.7276414262
117,3326742.386759379
118,1120306.9515390638
119,306574.25521386164
120,2069750.7090126395
121,333479.68515205523
122,565578.8797124125
123,308336.26636270323
124,336613.1975183445
125,658292.8069741986
126,360097.98891757085
127,1632641.9837950359
128,315618.2483354036
129,1258270.6751759488
130,1152605.3508931426
131,2858062.3239421286
132,494160.3984487733
133,1885899.7031013607
134,1265865.3898748485
135,606031.8603078668
136,503220.67386474187
137,1588877.7120405326
138,944592.1557027851
139,416927.8886757955
140,2441789.2836411498
141,414183.90935045684
142,428241.00198965566
143,1405078.74916507
144,405262.7242361042
145,522359.0885648028
146,268080.837376506
147,2545947.0487105055
148,561460.1029919313
149,1195575.552722277
150,492661.84592293506
151,573496.9683316684
152,860440.0673607206
153,790747.5294306363
154,447127.09784255916
155,598906.2191597563
156,479084.13878413243
157,420583.40636424883
158,619606.4735935571
159,2087590.451912611
160,1389078.6292738053
161,486494.4639353918
162,1122074.5114961967
163,494878.60027724877
164,304885.01714999846
165,359248.4850315507
166,645168.104402041
167,561241.7280273503
168,416081.50807444856
169,1377784.418176731
170,514177.1710389667
171,423943.2681750314
172,656987.5447341739
173,669732.3979648217
174,570348.4837544112
175,2401852.8503441205
176,661148.8803701629
177,380229.34754780424
178,1136542.7102792198
179,311275.1939413673
180,814184.8187647623
181,378790.8709080869
182,2729535.866992365
183,582099.0590361365
184,673338.1073172559
185,417666.01392222836
186,499774.49221632065
187,485484.9148557095
188,1488896.6420143554
189,366574.63427007565
190,2106751.65486379
191,1067486.3278162116
192,315696.2680486018
193,417824.5573306739
194,405191.3608811748
195,682686.3594410372
196,277879.786720837
197,1240625.5779710812
198,298258.8569918028
199,582267.1349502389
200,1209267.138718468
201,315409.3040139539
202,590050.5586075742
203,1330545.5416286723
204,687978.6008825194
205,199401.72307637028
206,201101.52288172723
207,391206.0323691245
208,1021766.6147829816
209,1731204.8931737193
210,628922.4473658912
211,2421187.6399392392
212,487866.4121544076
213,606039.7626210576
214,1456523.4692700247
215,353613.8206619671
216,286331.0090595998
217,673959.0972560399
218,552201.8575252693
219,312775.2513364249
220,581626.9100419316
221,970349.9433431439
222,2567935.0791358785
223,316593.6229676911
224,331914.3460406259
225,532569.4414336749
226,327053.0300861148
227,632371.1430888609
228,2522034.1168625387
229,602298.0505114242
230,394981.15866476024
231,508413.50955542177
232,329475.2120262357
233,662150.6135292837
234,527904.9692265696
235,276090.04580750933
236,1050307.7280868755
237,1675080.4887317664
238,1150092.8881976898
239,541300.4732021724
240,877317.8624758167
241,196991.91843575024
242,573857.8068185928
243,435143.3561758072
244,945971.0691128941
245,378797.58831042086
246,793714.2841208917
247,632265.1345250141
248,554024.6614306365
249,893035.7272828808
250,1809572.6423361555
251,340540.2021205004
252,573857.8068185928
253,571737.655875554
254,629574.7865437283
255,719938.7428405907
256,316593.6229676911
257,932098.2089353321
258,2194937.588093234
259,1048077.6823255487
